"Source:","C:\98-Others\FLW_EkGk_Handloeten_PCB1\FLW_EkGk_Handlöten_PCB1.kicad_sch"
"Date:","21-Nov-23 21:35:43"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","110"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Country of Origin","Function","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Voltage"
"1","2","C61, C62","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","",""
"2","1","IC60","HCF4094YM013TR",":HCF4094YM013TR_1","NiksKiCadLibrary:SOIC-16-SOIC127P600X175-16N","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000399.pdf","","","","1.75","STMicroelectronics","HCF4094YM013TR","511-HCF4094YM013TR","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/HCF4094YM013TR?qs=wkiPY8TIIKfZLRSu0KejOg%3D%3D","Vin: 3 ... 20 V"
"3","1","IC61","HCF4094YM013TR","NiksKiCadLibrary:HCF4094YM013TR","NiksKiCadLibrary:SOIC-16-SOIC127P600X175-16N","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000399.pdf","","","","1.75","STMicroelectronics","HCF4094YM013TR","511-HCF4094YM013TR","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/HCF4094YM013TR?qs=wkiPY8TIIKfZLRSu0KejOg%3D%3D","Vin: 3 ... 20 V"
"4","4","J10, J11, J12, J13","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~","","","","","","","","",""
"5","13","LED60, LED61, LED62, LED63, LED64, LED65, LED69, LED70, LED71, LED72, LED73, LED74, LED75","SML-LX1206SIC-TR","FabLabWintiLibrary:SML-LX1206SIC-TR","FabLabWintiLibrary:LED_SML-LX1206SIC-TR_LUM","SML-LX1206SIC-TR","","","","","","","","",""
"6","3","LED66, LED67, LED68","LTST-E563CEGBW","NiksKiCadLibrary:LTST-E563CEGBW","NiksKiCadLibrary:LTSTE563CEGBW","https://optoelectronics.liteon.com/upload/download/DS35-2018-0038/LTST-E563CEGBW.PDF","","China","","1.62","Lite-On","LTST-E563CEGBW","859-LTST-E563CEGBW","",""
"7","13","Q60, Q61, Q62, Q63, Q64, Q65, Q66, Q67, Q68, Q69, Q70, Q71, Q72","2N7002","Transistor_FET:2N7002","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","","","","","","","","",""
"8","33","R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R60, R61, R62, R63, R64, R65, R67, R68, R69, R70, R71, R72, R73","R","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","",""
"9","20","R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49","R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","",""
"10","2","R66, R74","330R","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","",""
"11","4","R75, R76, R77, R78","10k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","",""
"12","1","SW60","MSS6-V-T_R","NiksKiCadLibrary:MSS6-V-T_R","NiksKiCadLibrary:MSS6VTR","http://www.dip.com.tw/en/en-product-information/en-switch005/item/download/2644_d484074ddae8110c965b39aa743c4160","","","Power Enable","2.9","Diptronics","MSS6-V-T/R","113-MSS6-V-T/R","https://www.mouser.co.uk/ProductDetail/Diptronics/MSS6-V-T-R?qs=gTYE2QTfZfT81btvsnXi7w%3D%3D",""
"13","1","SW61","B3U-3100P",":B3U-3100P_1","SW_B3U-3100P_OMR","B3U-3100P","","","Manual Clock","","","","","",""
"14","1","SW62","B3U-3100P","NiksKiCadLibrary:B3U-3100P","SW_B3U-3100P_OMR","B3U-3100P","","","Manual Data","","","","","",""
"15","10","TP60, TP61, TP62, TP63, TP64, TP65, TP66, TP67, TP68, TP69","TestPoint","Connector:TestPoint","NiksKiCadLibrary:TestPointSimpleSMD","~","","","","","","","","",""
"16","1","U2","RPi-Pico","FabLabWintiLibrary:RPi-Pico","FabLabWintiLibrary:RPi_Pico_SMD_TH","","","","","","","","","",""
